직업코드,직업명,직업분류,NCS능력단위명,NCS능력단위정의,NCS대분류,NCS중분류,NCS소분류,능력단위코드
K000007491,전기안전기술자,전기·전자공학 기술자 및 시험원,수력발전설비운영,"수력발전설비 점검이란 발전설비의 정상운전과 고장예방을 위하여 법정검사, 정기점검, 특별점검, 댐·수로설비 점검 등을 수행하는 능력이다.",전기·전자,전기,발전설비운영,1901020105
K000007491,전기안전기술자,전기·전자공학 기술자 및 시험원,기계안전관리,기계안전점검이란 산업현장에서 기계를 사용하면서 발생할 수 있는 안전사고를 방지하기 위해 안전점검계획을 수립하고 안전점검표에 따라 안전점검을 실행하며 안전점검 내용을 평가하는 능력이다.,환경·에너지·안전,산업안전보건,산업안전관리,2306010123
K000000934,화학공학 시험원,화학공학 기술자 및 시험원,식품가공연구개발,"제품응용연구란 선행 기술분석을 통해 차별화된 소재 및 완제품에 관한기술 트렌드를 분석하고, 기초 연구와 응용연구를 수행하는 능력이다.",식품가공,식품가공,식품가공,2101011013
K000000934,화학공학 시험원,화학공학 기술자 및 시험원,도금,도금 환경법규 검토는 관련 법규에 따라 친환경적인 도금제품을 생산 운용하는 능력이다.,재료,금속재료,표면처리,1601040125
K000000934,화학공학 시험원,화학공학 기술자 및 시험원,산업환경보건,"취급물질 안전관리란 안전한 산업환경 확보를 위하여 취급물질에 대한 보건자료 작성, 사용경로 추적, 위험등급과 공정안전을 평가할 수 있는 능력이다.",환경·에너지·안전,환경보건,환경보건관리,2302010113
K000000887,수질환경기술자,에너지·환경공학 기술자 및 시험원,제과,"과자류제품 반죽익힘이란 정형을 거친 반죽을 작업지시서에 따라 굽기, 튀기기, 찌기 과정을 통해 익히는 능력이다.",식품가공,제과·제빵·떡제조,제과·제빵·떡제조,2102010104
K000000887,수질환경기술자,에너지·환경공학 기술자 및 시험원,환경관리,민원업무 수행이란 민원인이 요구하는 환경 관련 사항에 대하여 원인을파악하고 해결방안을 강구하여 재발을 방지하는 능력이다.,환경·에너지·안전,환경서비스,환경경영,2304010308
K000000887,수질환경기술자,에너지·환경공학 기술자 및 시험원,제과,"과자류제품 생산작업준비란 제품 생산 시작 전에 개인위생, 작업장 환경, 기기·도구에 대한 점검과 제품 생산에 필요한 재료를 계량하는 능력이다.",식품가공,제과·제빵·떡제조,제과·제빵·떡제조,2102010112
K000000938,대기환경기술자,에너지·환경공학 기술자 및 시험원,제과,"과자류제품 반죽익힘이란 정형을 거친 반죽을 작업지시서에 따라 굽기, 튀기기, 찌기 과정을 통해 익히는 능력이다.",식품가공,제과·제빵·떡제조,제과·제빵·떡제조,2102010104
K000000938,대기환경기술자,에너지·환경공학 기술자 및 시험원,환경관리,민원업무 수행이란 민원인이 요구하는 환경 관련 사항에 대하여 원인을파악하고 해결방안을 강구하여 재발을 방지하는 능력이다.,환경·에너지·안전,환경서비스,환경경영,2304010308
K000000938,대기환경기술자,에너지·환경공학 기술자 및 시험원,제과,"과자류제품 생산작업준비란 제품 생산 시작 전에 개인위생, 작업장 환경, 기기·도구에 대한 점검과 제품 생산에 필요한 재료를 계량하는 능력이다.",식품가공,제과·제빵·떡제조,제과·제빵·떡제조,2102010112
K000001097,환경공학 시험원,에너지·환경공학 기술자 및 시험원,제과,"과자류제품 반죽익힘이란 정형을 거친 반죽을 작업지시서에 따라 굽기, 튀기기, 찌기 과정을 통해 익히는 능력이다.",식품가공,제과·제빵·떡제조,제과·제빵·떡제조,2102010104
K000001097,환경공학 시험원,에너지·환경공학 기술자 및 시험원,제빵,"빵류제품 생산작업준비란 제품 생산 시작 전에 개인위생, 작업장 환경, 기기·도구에 대한 점검과 제품 생산에 필요한 재료를 계량하는 능력이다.",식품가공,제과·제빵·떡제조,제과·제빵·떡제조,2102010213
K000001097,환경공학 시험원,에너지·환경공학 기술자 및 시험원,제과,"과자류제품 생산작업준비란 제품 생산 시작 전에 개인위생, 작업장 환경, 기기·도구에 대한 점검과 제품 생산에 필요한 재료를 계량하는 능력이다.",식품가공,제과·제빵·떡제조,제과·제빵·떡제조,2102010112
K000007554,폐기물처리기술자,에너지·환경공학 기술자 및 시험원,대기환경관리,미세먼지 관리란 다양한 환경에서 발생하는 미세먼지 문제해결을 위해 발생원을 파악하고 측정분석을 수행하여 미세먼지에 대한 영향을 최소화시키는 능력이다.,환경·에너지·안전,산업환경,대기관리,2301020110
K000007554,폐기물처리기술자,에너지·환경공학 기술자 및 시험원,해양오염관리·방제,해양유류폐기물관리란 해양에서 발생된 폐기물을 수거하여 보관ㆍ관리하고 성상별로 분류하여 최종 처리할 수 있는 능력이다.,건설,해양자원,해양환경관리,1408020308
K000007554,폐기물처리기술자,에너지·환경공학 기술자 및 시험원,풍력에너지생산,풍력발전시스템 구성요소 생산이란 구성 요소 설계에 맞는 요소 기기를제작하는 능력이다.,환경·에너지·안전,에너지·자원,재생에너지,2305050617
K000007582,환경영향평가원,에너지·환경공학 기술자 및 시험원,바이오진단제품개발·서비스,"미생물 병원체 핵산 분석이란 미생물 병원체가 감염된 분석시료의 추출,증폭·검출을 통해 미생물 병원체의 핵산을 분석하는 능력이다.",화학·바이오,바이오,바이오의약,1705010324
K000007582,환경영향평가원,에너지·환경공학 기술자 및 시험원,버섯재배,버섯 종균 관리란 버섯재배에 적합한 종균을 생산하기 위해 버섯 품목에알맞은 적정 종균을 제조하고 배양하는 능력이다.,농림어업,농업,작물재배,2401010612
K000007582,환경영향평가원,에너지·환경공학 기술자 및 시험원,임산물생산,약용류 수확 가공이란 약효 성분을 함유하고 있는 관목성 식물을 대상으로 수확과 가공 관리를 수행하는 능력이다.,농림어업,임업,임산물생산·가공,2403030137
K000007545,비파괴검사원,소방·방재·산업안전·비파괴 기술자,선체품질관리,비파괴검사(Non-Destructive Test)란 선체 용접구조물에 대해 승인된 비파괴검사계획서(NDT Plan)에 따라 비파괴검사(표면 검사 및 체적검사)를 통하여건전성을 평가하는 능력이다.,기계,조선,선박품질관리,1508040107
K000007545,비파괴검사원,소방·방재·산업안전·비파괴 기술자,원자력발전설비운영,"기계설비 정비란 원자력발전소에 설치된 기계설비의 기능과 안전성을 확보하기 위하여 예방점검, 정기·주기점검, 고장정비 등을 수행하는 능력이다.",전기·전자,전기,발전설비운영,1901020303
